impl,batch,tokens,channels,layers,weighted_flops,bytes_est,intensity,gflops,avg_ms
Python,8,2,1,1,2625681180.0,986112.0,2662.6602049260123,893.3872098303852,2.9390180999999997
Python,8,4,2,2,10496575544.0,3817472.0,2749.61428505566,1489.2711521743427,7.0481292333333325
Python,8,8,4,4,41979582576.0,15040512.0,2791.1006338082107,1909.4596770482697,21.98505843333333
Python,8,16,8,8,167949521120.0,59899904.0,2803.8362318577338,2047.2071000401772,82.03836393333333
Python,8,32,16,16,672217506240.0,240648192.0,2793.361964007608,1950.7479384898018,344.5947541333333
Python,8,64,32,32,2692565189504.0,977272832.0,2755.182689355678,1418.5527391958833,1898.1072152666668
Python,8,128,64,64,10800501655296.0,4039114752.0,2673.9774228865485,1071.4577674074521,10080.193530566665
Baseline C++,8,2,1,1,2625681180.0,986112.0,2662.6602049260123,2.656281979966493,988.4798375333334
Baseline C++,8,4,2,2,10496575544.0,3817472.0,2749.61428505566,2.6473168634352637,3964.9864695
Baseline C++,8,8,4,4,41979582576.0,15040512.0,2791.1006338082107,2.667093814802487,15739.822252599994
Baseline C++,8,16,8,8,167949521120.0,59899904.0,2803.8362318577338,2.6624801550218082,63080.10251389999
Baseline C++,8,32,16,16,672217506240.0,240648192.0,2793.361964007608,2.6703972377761698,251729.4044236667
Baseline C++,8,64,32,32,2692565189504.0,977272832.0,2755.182689355678,2.6740670161960374,1006917.6176946668
Optimized-for-cache C++,8,2,1,1,18918300.0,986112.0,19.184737636292834,13.534070182939793,1.3978278333333332
Optimized-for-cache C++,8,4,2,2,76822840.0,3817472.0,20.124008768106222,13.550515502031567,5.669366600000001
Optimized-for-cache C++,8,8,4,4,316840560.0,15040512.0,21.065809461805557,12.199739101470472,25.9710931
Optimized-for-cache C++,8,16,8,8,1344460000.0,59899904.0,22.44511109733999,13.948968943968966,96.38418476666668
Optimized-for-cache C++,8,32,16,16,5996030400.0,240648192.0,24.91616641773897,13.145643210607524,456.1230138333333
Optimized-for-cache C++,8,64,32,32,28932461440.0,977272832.0,29.605306207877884,11.28177306858289,2564.531414
Optimized-for-cache C++,8,128,64,64,155322197760.0,4039114752.0,38.454514738183896,11.004955734669272,14113.8412098
SIMD (cache+packed) C++,8,2,1,1,18914588.0,986112.0,19.180973357995846,22.607940175565272,0.8366347333333332
SIMD (cache+packed) C++,8,4,2,2,76825912.0,3817472.0,20.124813489136265,12.69648082463858,6.050961133333334
SIMD (cache+packed) C++,8,8,4,4,316996208.0,15040512.0,21.076158045683552,25.351691184364565,12.5039472
SIMD (cache+packed) C++,8,16,8,8,1346229472.0,59899904.0,22.474651578740428,25.819245342343294,52.140543
SIMD (cache+packed) C++,8,32,16,16,6012283328.0,240648192.0,24.983704544100625,26.70771744550606,225.11408323333333
SIMD (cache+packed) C++,8,64,32,32,29070873472.0,977272832.0,29.746937109165437,24.26579195407896,1198.0187387666665
SIMD (cache+packed) C++,8,128,64,64,156463048448.0,4039114752.0,38.73696541315794,23.08125221023007,6778.793759666665
