implementation,flag_id,flags,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
SIMD C++,default_simd,-std=c++17 -O3 -DNDEBUG -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,2,1,1,0.9587847333333335,0.861042,1.863625
SIMD C++,default_simd,-std=c++17 -O3 -DNDEBUG -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,4,2,2,3.9168125000000003,3.08925,8.858416
SIMD C++,default_simd,-std=c++17 -O3 -DNDEBUG -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,8,4,4,12.512065200000004,12.060875,16.462458
SIMD C++,default_simd,-std=c++17 -O3 -DNDEBUG -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,16,8,8,56.781222166666666,49.633167,97.524125
SIMD C++,default_simd,-std=c++17 -O3 -DNDEBUG -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,32,16,16,234.79824293333334,223.124083,299.938666
SIMD C++,default_simd,-std=c++17 -O3 -DNDEBUG -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,64,32,32,1187.7391111000002,1122.77925,1386.543583
SIMD C++,default_simd,-std=c++17 -O3 -DNDEBUG -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,128,64,64,6542.634924933332,6287.5735,7450.884
SIMD C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,2,1,1,0.8410276999999998,0.783125,0.893667
SIMD C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,4,2,2,3.4169403333333332,3.282125,3.519833
SIMD C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,8,4,4,14.644211133333332,14.077083,17.418666
SIMD C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,16,8,8,63.21500136666668,59.465167,79.642416
SIMD C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,32,16,16,273.3674568666667,261.938167,313.888333
SIMD C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,64,32,32,1278.365223533333,1250.879333,1362.489583
SIMD C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,128,64,64,6726.4430638333315,6536.208083,6998.948458
SIMD C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,2,1,1,0.9035847333333334,0.844333,1.018166
SIMD C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,4,2,2,3.603740166666666,3.517625,3.824625
SIMD C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,8,4,4,14.780181833333332,14.21525,15.267334
SIMD C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,16,8,8,62.24796526666665,59.334292,71.63
SIMD C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,32,16,16,282.1462112666667,263.059459,396.819209
