implementation,kernel,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
C++,geometric_product,8,2,1,1,0.08711656666666669,0.086834,0.087791
C++,equi_linear,8,2,1,1,0.04185556666666667,0.04175,0.042208
C++,equi_join,8,2,1,1,2.2393597000000005,2.14625,2.494917
C++,equi_rms_norm,8,2,1,1,0.0005597333333333335,0.0005,0.00075
C++,scaler_gated_gelu,8,2,1,1,0.0008013666666666669,0.0005,0.008458
C++,equi_geometric_attention,8,2,1,1,0.12014446666666664,0.10925,0.123
C++,geometric_product,8,4,2,2,0.1952666,0.185958,0.264833
C++,equi_linear,8,4,2,2,0.22940276666666673,0.226458,0.270333
C++,equi_join,8,4,2,2,2.3886972,2.314541,2.645417
C++,equi_rms_norm,8,4,2,2,0.0010028000000000005,0.000958,0.001292
C++,scaler_gated_gelu,8,4,2,2,0.0011237000000000005,0.001,0.003084
C++,equi_geometric_attention,8,4,2,2,0.14350973333333333,0.139959,0.145917
C++,geometric_product,8,8,4,4,0.7483527999999999,0.739917,0.765
C++,equi_linear,8,8,4,4,2.4253639333333337,2.378625,2.567542
C++,equi_join,8,8,4,4,2.999269466666666,2.975458,3.130958
C++,equi_rms_norm,8,8,4,4,0.0028193333333333347,0.002708,0.003125
C++,scaler_gated_gelu,8,8,4,4,0.0029360666666666682,0.00275,0.003208
C++,equi_geometric_attention,8,8,4,4,0.30096386666666664,0.277,0.528917
C++,geometric_product,8,16,8,8,3.0879319666666665,2.974125,3.478375
C++,equi_linear,8,16,8,8,21.461079033333338,21.306875,21.893375
C++,equi_join,8,16,8,8,5.6807431,5.569625,6.215667
C++,equi_rms_norm,8,16,8,8,0.0077444,0.007208,0.015
C++,scaler_gated_gelu,8,16,8,8,0.010666633333333333,0.010625,0.010834
C++,equi_geometric_attention,8,16,8,8,1.2450847333333332,1.232917,1.458
C++,geometric_product,8,32,16,16,12.892337466666666,12.723042,15.495916
C++,equi_linear,8,32,16,16,197.81507366666665,192.583,248.837333
C++,equi_join,8,32,16,16,17.389588933333325,17.170958,18.271208
C++,equi_rms_norm,8,32,16,16,0.024090266666666672,0.024,0.024291
C++,scaler_gated_gelu,8,32,16,16,0.05065963333333333,0.050166,0.054459
C++,equi_geometric_attention,8,32,16,16,8.062795866666667,7.759625,8.976166
C++,geometric_product,8,64,32,32,51.92497363333333,50.876125,54.420334
C++,equi_linear,8,64,32,32,1505.5975166,1492.163792,1580.261625
C++,equi_join,8,64,32,32,62.58454733333335,61.873459,72.087667
C++,equi_rms_norm,8,64,32,32,0.08667213333333335,0.085875,0.104375
C++,scaler_gated_gelu,8,64,32,32,0.2647209,0.226875,0.837916
C++,equi_geometric_attention,8,64,32,32,67.75287213333334,67.590459,69.356708
C++,geometric_product,8,128,64,64,215.63294439999999,203.733917,229.439958
C++,equi_linear,8,128,64,64,12435.87360136667,12029.999667,14600.863166
C++,equi_join,8,128,64,64,240.88810146666663,239.054625,247.995708
C++,equi_rms_norm,8,128,64,64,0.3414750333333334,0.334792,0.453084
C++,scaler_gated_gelu,8,128,64,64,0.9396124999999999,0.938292,0.943916
C++,equi_geometric_attention,8,128,64,64,553.8101291,551.976292,559.245
