implementation,kernel,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
Optimized-for-cache C++,geometric_product,8,2,1,1,0.001906933333333334,0.001833,0.002583
Optimized-for-cache C++,equi_linear,8,2,1,1,0.0011222000000000003,0.001041,0.0015
Optimized-for-cache C++,equi_join,8,2,1,1,0.0036501000000000016,0.003458,0.005208
Optimized-for-cache C++,equi_rms_norm,8,2,1,1,0.0012986333333333338,0.00125,0.001541
Optimized-for-cache C++,scaler_gated_gelu,8,2,1,1,0.001265266666666667,0.001208,0.001583
Optimized-for-cache C++,equi_geometric_attention,8,2,1,1,0.03429016666666666,0.033583,0.038125
Optimized-for-cache C++,geometric_product,8,4,2,2,0.003612533333333335,0.003541,0.003875
Optimized-for-cache C++,equi_linear,8,4,2,2,0.001748533333333334,0.001708,0.001916
Optimized-for-cache C++,equi_join,8,4,2,2,0.004412533333333335,0.004291,0.00525
Optimized-for-cache C++,equi_rms_norm,8,4,2,2,0.0020027666666666676,0.001958,0.002292
Optimized-for-cache C++,scaler_gated_gelu,8,4,2,2,0.002026433333333334,0.001958,0.002333
Optimized-for-cache C++,equi_geometric_attention,8,4,2,2,0.0496362,0.048916,0.051583
Optimized-for-cache C++,geometric_product,8,8,4,4,0.0101569,0.010083,0.010459
Optimized-for-cache C++,equi_linear,8,8,4,4,0.010005566666666665,0.006083,0.057417
Optimized-for-cache C++,equi_join,8,8,4,4,0.008345700000000001,0.00825,0.009
Optimized-for-cache C++,equi_rms_norm,8,8,4,4,0.004933433333333334,0.004875,0.005291
Optimized-for-cache C++,scaler_gated_gelu,8,8,4,4,0.0051527,0.005083,0.005416
Optimized-for-cache C++,equi_geometric_attention,8,8,4,4,0.11628733333333331,0.115416,0.120166
Optimized-for-cache C++,geometric_product,8,16,8,8,0.0401277,0.033958,0.133542
Optimized-for-cache C++,equi_linear,8,16,8,8,0.03585846666666668,0.035208,0.03675
Optimized-for-cache C++,equi_join,8,16,8,8,0.023936066666666676,0.023667,0.024583
Optimized-for-cache C++,equi_rms_norm,8,16,8,8,0.012083333333333337,0.011917,0.012375
Optimized-for-cache C++,scaler_gated_gelu,8,16,8,8,0.017608300000000004,0.017417,0.018041
Optimized-for-cache C++,equi_geometric_attention,8,16,8,8,0.5223958333333333,0.397833,2.520333
Optimized-for-cache C++,geometric_product,8,32,16,16,0.08721389999999998,0.087,0.088416
Optimized-for-cache C++,equi_linear,8,32,16,16,0.19835003333333331,0.191209,0.364084
Optimized-for-cache C++,equi_join,8,32,16,16,0.08298760000000002,0.057125,0.580834
Optimized-for-cache C++,equi_rms_norm,8,32,16,16,0.024093066666666666,0.023958,0.024291
Optimized-for-cache C++,scaler_gated_gelu,8,32,16,16,0.05390276666666667,0.046708,0.159916
Optimized-for-cache C++,equi_geometric_attention,8,32,16,16,2.4979151666666666,2.41975,2.985167
Optimized-for-cache C++,geometric_product,8,64,32,32,0.3519415666666666,0.346625,0.375166
Optimized-for-cache C++,equi_linear,8,64,32,32,2.155597266666667,1.670542,3.867167
Optimized-for-cache C++,equi_join,8,64,32,32,0.3687223,0.230208,1.156958
Optimized-for-cache C++,equi_rms_norm,8,64,32,32,0.09178333333333333,0.086541,0.180125
Optimized-for-cache C++,scaler_gated_gelu,8,64,32,32,0.25426109999999996,0.219292,0.768375
Optimized-for-cache C++,equi_geometric_attention,8,64,32,32,26.369722233333338,19.72875,163.088334
Optimized-for-cache C++,geometric_product,8,128,64,64,1.3398095999999997,1.327375,1.358833
Optimized-for-cache C++,equi_linear,8,128,64,64,13.971327766666667,13.806791,15.001042
Optimized-for-cache C++,equi_join,8,128,64,64,1.1890554999999998,0.905167,3.261083
Optimized-for-cache C++,equi_rms_norm,8,128,64,64,0.3477792333333334,0.320834,0.620958
Optimized-for-cache C++,scaler_gated_gelu,8,128,64,64,0.9140472666666667,0.891417,1.139792
Optimized-for-cache C++,equi_geometric_attention,8,128,64,64,146.66383886666665,134.936625,236.601833
