implementation,kernel,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
Python,geometric_product,8,2,1,1,0.12344583333333331,0.090125,0.869084
Python,equi_linear,8,2,1,1,0.11676243333333335,0.104333,0.183459
Python,equi_join,8,2,1,1,0.10335546666666667,0.09525,0.170625
Python,equi_rms_norm,8,2,1,1,0.025307000000000003,0.024333,0.027625
Python,scaler_gated_gelu,8,2,1,1,0.005884700000000002,0.005583,0.006833
Python,equi_geometric_attention,8,2,1,1,0.7061361333333334,0.299458,9.389333
Python,geometric_product,8,4,2,2,0.10978056666666665,0.105083,0.172875
Python,equi_linear,8,4,2,2,0.15475696666666663,0.121708,0.505209
Python,equi_join,8,4,2,2,0.1197791666666667,0.1135,0.19625
Python,equi_rms_norm,8,4,2,2,0.02702493333333333,0.026375,0.029167
Python,scaler_gated_gelu,8,4,2,2,0.0085457,0.00625,0.04675
Python,equi_geometric_attention,8,4,2,2,0.3971638999999999,0.353292,0.693667
Python,geometric_product,8,8,4,4,0.12439989999999998,0.113667,0.1845
Python,equi_linear,8,8,4,4,0.13625700000000002,0.121542,0.365834
Python,equi_join,8,8,4,4,0.13353746666666666,0.121375,0.21775
Python,equi_rms_norm,8,8,4,4,0.031004199999999996,0.030417,0.032542
Python,scaler_gated_gelu,8,8,4,4,0.007562533333333335,0.007417,0.008167
Python,equi_geometric_attention,8,8,4,4,0.5486889333333331,0.492083,0.806916
Python,geometric_product,8,16,8,8,0.1589528666666667,0.139375,0.50925
Python,equi_linear,8,16,8,8,0.14899439999999994,0.133291,0.273875
Python,equi_join,8,16,8,8,0.24202083333333332,0.148375,2.473125
Python,equi_rms_norm,8,16,8,8,0.045938866666666675,0.044291,0.049417
Python,scaler_gated_gelu,8,16,8,8,0.012095866666666668,0.011916,0.012791
Python,equi_geometric_attention,8,16,8,8,2.0318166333333334,0.755209,15.911917
Python,geometric_product,8,32,16,16,0.5744888333333334,0.281916,2.186917
Python,equi_linear,8,32,16,16,0.28100273333333337,0.208167,0.732083
Python,equi_join,8,32,16,16,0.6213777666666667,0.324042,2.136792
Python,equi_rms_norm,8,32,16,16,0.15472079999999996,0.131709,0.572709
Python,scaler_gated_gelu,8,32,16,16,0.0845652,0.033625,0.333792
Python,equi_geometric_attention,8,32,16,16,2.112906933333334,1.44375,9.850334
Python,geometric_product,8,64,32,32,1.8076972333333334,1.138333,10.824792
Python,equi_linear,8,64,32,32,2.839034733333333,2.281375,5.342959
Python,equi_join,8,64,32,32,2.1817125666666666,1.229,7.588458
Python,equi_rms_norm,8,64,32,32,0.36377923333333334,0.189458,0.921209
Python,scaler_gated_gelu,8,64,32,32,0.1486513,0.108625,0.359041
Python,equi_geometric_attention,8,64,32,32,6.043707033333332,5.058292,7.558167
Python,geometric_product,8,128,64,64,7.552147199999999,6.747042,9.12125
Python,equi_linear,8,128,64,64,19.425524966666668,17.942042,25.337541
Python,equi_join,8,128,64,64,7.045561200000001,6.546709,8.206209
Python,equi_rms_norm,8,128,64,64,1.3653804666666665,0.9645,4.435375
Python,scaler_gated_gelu,8,128,64,64,0.14392636666666672,0.135291,0.244292
Python,equi_geometric_attention,8,128,64,64,26.61254163333333,23.461125,42.673042
