implementation,kernel,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
Vectorized C++,geometric_product,8,2,1,1,0.0005735666666666669,0.000541,0.001042
Vectorized C++,equi_linear,8,2,1,1,0.0004888666666666669,0.000458,0.000625
Vectorized C++,equi_join,8,2,1,1,0.0014709000000000007,0.001416,0.001875
Vectorized C++,equi_rms_norm,8,2,1,1,0.0004527000000000001,0.000416,0.000542
Vectorized C++,scaler_gated_gelu,8,2,1,1,0.00046936666666666673,0.000416,0.000625
Vectorized C++,equi_geometric_attention,8,2,1,1,0.016370766666666668,0.015708,0.018458
Vectorized C++,geometric_product,8,4,2,2,0.0008736333333333338,0.000833,0.001042
Vectorized C++,equi_linear,8,4,2,2,0.0007985333333333335,0.00075,0.001
Vectorized C++,equi_join,8,4,2,2,0.001738933333333334,0.001667,0.002041
Vectorized C++,equi_rms_norm,8,4,2,2,0.0006139333333333336,0.000583,0.000708
Vectorized C++,scaler_gated_gelu,8,4,2,2,0.0005903,0.000542,0.000667
Vectorized C++,equi_geometric_attention,8,4,2,2,0.0231598,0.02225,0.025667
Vectorized C++,geometric_product,8,8,4,4,0.0021529000000000006,0.002125,0.002334
Vectorized C++,equi_linear,8,8,4,4,0.0015167000000000006,0.0015,0.001583
Vectorized C++,equi_join,8,8,4,4,0.003415200000000002,0.003333,0.003792
Vectorized C++,equi_rms_norm,8,8,4,4,0.001140266666666667,0.001083,0.001291
Vectorized C++,scaler_gated_gelu,8,8,4,4,0.0012972000000000005,0.00125,0.001458
Vectorized C++,equi_geometric_attention,8,8,4,4,0.04835833333333333,0.04725,0.049667
Vectorized C++,geometric_product,8,16,8,8,0.007404233333333333,0.00725,0.008083
Vectorized C++,equi_linear,8,16,8,8,0.007794366666666668,0.00775,0.008041
Vectorized C++,equi_join,8,16,8,8,0.011616700000000006,0.009708,0.033458
Vectorized C++,equi_rms_norm,8,16,8,8,0.006884766666666667,0.003333,0.069833
Vectorized C++,scaler_gated_gelu,8,16,8,8,0.005083300000000001,0.005,0.005333
Vectorized C++,equi_geometric_attention,8,16,8,8,0.18534316666666673,0.180042,0.20375
Vectorized C++,geometric_product,8,32,16,16,0.028657,0.028416,0.029209
Vectorized C++,equi_linear,8,32,16,16,0.05167636666666667,0.0515,0.051833
Vectorized C++,equi_join,8,32,16,16,0.032819433333333335,0.032625,0.033375
Vectorized C++,equi_rms_norm,8,32,16,16,0.013806833333333332,0.013708,0.014291
Vectorized C++,scaler_gated_gelu,8,32,16,16,0.02423063333333333,0.023458,0.026375
Vectorized C++,equi_geometric_attention,8,32,16,16,2.268788933333333,0.971708,15.626916
Vectorized C++,geometric_product,8,64,32,32,0.11283336666666667,0.109833,0.117417
Vectorized C++,equi_linear,8,64,32,32,0.3943347666666667,0.375,0.635084
Vectorized C++,equi_join,8,64,32,32,0.2123028333333333,0.135375,0.592584
Vectorized C++,equi_rms_norm,8,64,32,32,0.04509989999999999,0.044583,0.046292
Vectorized C++,scaler_gated_gelu,8,64,32,32,0.17807510000000004,0.153708,0.53175
Vectorized C++,equi_geometric_attention,8,64,32,32,8.388190233333335,7.812334,11.03875
Vectorized C++,geometric_product,8,128,64,64,0.7816750666666665,0.46325,1.705
Vectorized C++,equi_linear,8,128,64,64,5.229212599999999,5.026167,6.581708
Vectorized C++,equi_join,8,128,64,64,0.9327264666666667,0.542833,2.90225
Vectorized C++,equi_rms_norm,8,128,64,64,0.18167219999999998,0.160334,0.546042
Vectorized C++,scaler_gated_gelu,8,128,64,64,0.6775735333333333,0.669958,0.707458
Vectorized C++,equi_geometric_attention,8,128,64,64,69.8486445,65.772417,102.132958
