implementation,kernel,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
C++,geometric_product,8,2,1,1,0.060885999999999996,0.055875,0.06925
C++,equi_linear,8,2,1,1,0.030568066666666668,0.028375,0.032334
C++,equi_join,8,2,1,1,2.0658249999999994,1.9895,2.200125
C++,equi_rms_norm,8,2,1,1,0.00047779999999999996,0.000458,0.000666
C++,scaler_gated_gelu,8,2,1,1,0.0006138666666666668,0.000458,0.00075
C++,geometric_product,8,4,2,2,0.19444863333333334,0.181333,0.246958
C++,equi_linear,8,4,2,2,0.22738733333333327,0.218708,0.291291
C++,equi_join,8,4,2,2,2.2221860333333328,2.153667,2.398708
C++,equi_rms_norm,8,4,2,2,0.0008679000000000003,0.000833,0.001083
C++,scaler_gated_gelu,8,4,2,2,0.0011761333333333336,0.000917,0.001334
C++,geometric_product,8,8,4,4,0.7497985666666668,0.724042,0.856417
C++,equi_linear,8,8,4,4,2.248881933333334,2.220333,2.3785
C++,equi_join,8,8,4,4,2.8708014,2.773583,3.33225
C++,equi_rms_norm,8,8,4,4,0.0028013666666666676,0.00225,0.003541
C++,scaler_gated_gelu,8,8,4,4,0.0026514666666666684,0.002375,0.003792
C++,geometric_product,8,16,8,8,2.9356569666666683,2.898375,3.074959
C++,equi_linear,8,16,8,8,19.86147636666667,19.71625,20.735042
C++,equi_join,8,16,8,8,5.352066766666668,5.289708,5.463541
C++,equi_rms_norm,8,16,8,8,0.006826366666666667,0.00675,0.007042
C++,scaler_gated_gelu,8,16,8,8,0.009329133333333331,0.00925,0.009541
C++,geometric_product,8,32,16,16,11.688001433333334,11.592375,11.91025
C++,equi_linear,8,32,16,16,166.11246246666664,165.344208,169.20575
C++,equi_join,8,32,16,16,15.404383333333335,15.297541,16.325292
C++,equi_rms_norm,8,32,16,16,0.020265366666666663,0.020166,0.020625
C++,scaler_gated_gelu,8,32,16,16,0.03769303333333333,0.037417,0.04075
C++,geometric_product,8,64,32,32,46.64698336666667,46.461958,47.495875
C++,equi_linear,8,64,32,32,1362.2299609999998,1354.152084,1455.3875
C++,equi_join,8,64,32,32,55.70695410000001,55.534625,57.279417
C++,equi_rms_norm,8,64,32,32,0.07213886666666665,0.07175,0.075375
C++,scaler_gated_gelu,8,64,32,32,0.19774439999999996,0.178334,0.259416
C++,geometric_product,8,128,64,64,186.4366557,185.971042,187.829916
C++,equi_linear,8,128,64,64,10981.972241666668,10945.82925,11232.363541
C++,equi_join,8,128,64,64,219.05020983333333,216.630291,224.07975
C++,equi_rms_norm,8,128,64,64,0.3129153333333334,0.275292,0.595542
C++,scaler_gated_gelu,8,128,64,64,0.7925124333333333,0.767125,1.119
