implementation,kernel,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
Optimized C++,geometric_product,8,2,1,1,0.0007722000000000003,0.000708,0.001042
Optimized C++,equi_linear,8,2,1,1,0.0005333666666666668,0.0005,0.00075
Optimized C++,equi_join,8,2,1,1,0.0014680000000000008,0.001375,0.00225
Optimized C++,equi_rms_norm,8,2,1,1,0.0005167000000000001,0.000459,0.00075
Optimized C++,scaler_gated_gelu,8,2,1,1,0.0004986666666666668,0.000458,0.000625
Optimized C++,geometric_product,8,4,2,2,0.0028762666666666678,0.002791,0.003417
Optimized C++,equi_linear,8,4,2,2,0.001641566666666667,0.001583,0.001916
Optimized C++,equi_join,8,4,2,2,0.003341600000000002,0.003208,0.003958
Optimized C++,equi_rms_norm,8,4,2,2,0.0014555000000000008,0.001375,0.001708
Optimized C++,scaler_gated_gelu,8,4,2,2,0.0014806000000000008,0.001375,0.001708
Optimized C++,geometric_product,8,8,4,4,0.005697200000000002,0.005666,0.005958
Optimized C++,equi_linear,8,8,4,4,0.005451366666666667,0.004042,0.006791
Optimized C++,equi_join,8,8,4,4,0.007316799999999999,0.007167,0.008
Optimized C++,equi_rms_norm,8,8,4,4,0.004154166666666669,0.004041,0.0045
Optimized C++,scaler_gated_gelu,8,8,4,4,0.004141766666666669,0.004083,0.004417
Optimized C++,geometric_product,8,16,8,8,0.03169313333333333,0.031541,0.031917
Optimized C++,equi_linear,8,16,8,8,0.04204573333333332,0.04075,0.043084
Optimized C++,equi_join,8,16,8,8,0.022340399999999993,0.021917,0.025792
Optimized C++,equi_rms_norm,8,16,8,8,0.010911200000000003,0.010833,0.011
Optimized C++,scaler_gated_gelu,8,16,8,8,0.014402800000000009,0.01425,0.014625
Optimized C++,geometric_product,8,32,16,16,0.10117356666666667,0.099541,0.122958
Optimized C++,equi_linear,8,32,16,16,0.25020830000000005,0.241083,0.265292
Optimized C++,equi_join,8,32,16,16,0.05788893333333334,0.057416,0.059416
Optimized C++,equi_rms_norm,8,32,16,16,0.023806866666666666,0.023708,0.023916
Optimized C++,scaler_gated_gelu,8,32,16,16,0.04334443333333334,0.041666,0.054834
Optimized C++,geometric_product,8,64,32,32,0.3212098,0.307625,0.372667
Optimized C++,equi_linear,8,64,32,32,1.7960638666666666,1.765125,1.878833
Optimized C++,equi_join,8,64,32,32,0.19857080000000002,0.193458,0.222792
Optimized C++,equi_rms_norm,8,64,32,32,0.07481526666666666,0.073875,0.090417
Optimized C++,scaler_gated_gelu,8,64,32,32,0.1830515,0.174792,0.200792
Optimized C++,geometric_product,8,128,64,64,1.2988610999999999,1.246292,1.428417
Optimized C++,equi_linear,8,128,64,64,14.927048700000002,14.631291,15.59425
Optimized C++,equi_join,8,128,64,64,0.8068151666666665,0.783417,0.977083
Optimized C++,equi_rms_norm,8,128,64,64,0.2900875333333334,0.283208,0.341958
Optimized C++,scaler_gated_gelu,8,128,64,64,0.7626847,0.749083,0.810708
