implementation,kernel,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
Python,geometric_product,8,2,1,1,0.031158300000000003,0.027666,0.041375
Python,equi_linear,8,2,1,1,0.0566112,0.034084,0.301042
Python,equi_join,8,2,1,1,0.04415136666666667,0.037042,0.051958
Python,equi_rms_norm,8,2,1,1,0.02024726666666666,0.0195,0.022042
Python,scaler_gated_gelu,8,2,1,1,0.005243033333333333,0.005083,0.005792
Python,geometric_product,8,4,2,2,0.04003476666666666,0.035334,0.046875
Python,equi_linear,8,4,2,2,0.04105413333333333,0.036542,0.0445
Python,equi_join,8,4,2,2,0.05110006666666667,0.044292,0.078709
Python,equi_rms_norm,8,4,2,2,0.0217431,0.020792,0.024083
Python,scaler_gated_gelu,8,4,2,2,0.005688833333333335,0.005542,0.006334
Python,geometric_product,8,8,4,4,0.0993374666666667,0.076167,0.219833
Python,equi_linear,8,8,4,4,0.0449014,0.040209,0.05
Python,equi_join,8,8,4,4,0.08239986666666668,0.080708,0.110458
Python,equi_rms_norm,8,8,4,4,0.0254014,0.024333,0.030541
Python,scaler_gated_gelu,8,8,4,4,0.007420866666666666,0.006334,0.023542
Python,geometric_product,8,16,8,8,0.3082652999999999,0.289042,0.44575
Python,equi_linear,8,16,8,8,0.05005696666666667,0.049125,0.062291
Python,equi_join,8,16,8,8,0.3120097,0.291292,0.461209
Python,equi_rms_norm,8,16,8,8,0.037023600000000004,0.036791,0.037791
Python,scaler_gated_gelu,8,16,8,8,0.011483233333333337,0.011291,0.011959
Python,geometric_product,8,32,16,16,1.0573625000000002,0.9825,1.160792
Python,equi_linear,8,32,16,16,0.09543193333333333,0.093875,0.115708
Python,equi_join,8,32,16,16,1.0723138666666665,1.058334,1.1325
Python,equi_rms_norm,8,32,16,16,0.12009036666666667,0.115709,0.141125
Python,scaler_gated_gelu,8,32,16,16,0.04041816666666668,0.03125,0.12375
Python,geometric_product,8,64,32,32,4.322433166666666,4.217458,4.585708
Python,equi_linear,8,64,32,32,0.34855129999999995,0.323,0.607625
Python,equi_join,8,64,32,32,4.451422066666667,4.299917,4.803
Python,equi_rms_norm,8,64,32,32,0.41306659999999995,0.387625,0.589209
Python,scaler_gated_gelu,8,64,32,32,0.1113416,0.109916,0.127167
Python,geometric_product,8,128,64,64,34.05051796666667,33.2595,38.342292
Python,equi_linear,8,128,64,64,2.1208375,2.049333,2.465917
Python,equi_join,8,128,64,64,35.07923616666666,33.497875,59.181292
Python,equi_rms_norm,8,128,64,64,1.5260374666666663,1.474958,1.717417
Python,scaler_gated_gelu,8,128,64,64,0.4363014666666666,0.420708,0.521583
