implementation,kernel,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
Vectorized C++,geometric_product,8,2,1,1,0.0005292000000000003,0.0005,0.000708
Vectorized C++,equi_linear,8,2,1,1,0.000826366666666667,0.000417,0.001125
Vectorized C++,equi_join,8,2,1,1,0.0029958333333333347,0.002792,0.00375
Vectorized C++,equi_rms_norm,8,2,1,1,0.0008972000000000006,0.000833,0.001208
Vectorized C++,scaler_gated_gelu,8,2,1,1,0.0009098000000000004,0.000833,0.001167
Vectorized C++,geometric_product,8,4,2,2,0.0018764000000000005,0.001791,0.00225
Vectorized C++,equi_linear,8,4,2,2,0.0017472666666666673,0.001625,0.002125
Vectorized C++,equi_join,8,4,2,2,0.0037848333333333354,0.003541,0.004584
Vectorized C++,equi_rms_norm,8,4,2,2,0.001260933333333334,0.001125,0.0015
Vectorized C++,scaler_gated_gelu,8,4,2,2,0.0013070000000000004,0.001208,0.002
Vectorized C++,geometric_product,8,8,4,4,0.003915266666666669,0.003791,0.00425
Vectorized C++,equi_linear,8,8,4,4,0.005186100000000001,0.005083,0.005625
Vectorized C++,equi_join,8,8,4,4,0.006609799999999998,0.005417,0.022166
Vectorized C++,equi_rms_norm,8,8,4,4,0.0019820000000000007,0.001875,0.002542
Vectorized C++,scaler_gated_gelu,8,8,4,4,0.002401500000000001,0.00225,0.003167
Vectorized C++,geometric_product,8,16,8,8,0.007629200000000001,0.007541,0.007834
Vectorized C++,equi_linear,8,16,8,8,0.023086133333333335,0.017541,0.031959
Vectorized C++,equi_join,8,16,8,8,0.015155566666666672,0.014792,0.016208
Vectorized C++,equi_rms_norm,8,16,8,8,0.005393000000000003,0.005291,0.005708
Vectorized C++,scaler_gated_gelu,8,16,8,8,0.006919366666666668,0.00675,0.007541
Vectorized C++,geometric_product,8,32,16,16,0.0359069,0.035708,0.036625
Vectorized C++,equi_linear,8,32,16,16,0.1622693,0.153291,0.281708
Vectorized C++,equi_join,8,32,16,16,0.039558199999999995,0.039291,0.040416
Vectorized C++,equi_rms_norm,8,32,16,16,0.016026400000000003,0.01575,0.01675
Vectorized C++,scaler_gated_gelu,8,32,16,16,0.02244733333333333,0.021708,0.023917
Vectorized C++,geometric_product,8,64,32,32,0.10067373333333332,0.099375,0.113709
Vectorized C++,equi_linear,8,64,32,32,0.9082333666666665,0.884375,1.007417
Vectorized C++,equi_join,8,64,32,32,0.11419856666666668,0.113708,0.115458
Vectorized C++,equi_rms_norm,8,64,32,32,0.03944586666666667,0.038333,0.050458
Vectorized C++,scaler_gated_gelu,8,64,32,32,0.12719713333333335,0.121292,0.165292
Vectorized C++,geometric_product,8,128,64,64,0.4019693333333333,0.397459,0.424083
Vectorized C++,equi_linear,8,128,64,64,7.087822266666665,7.040958,7.213667
Vectorized C++,equi_join,8,128,64,64,0.5147442999999998,0.49125,0.791708
Vectorized C++,equi_rms_norm,8,128,64,64,0.14967086666666665,0.138375,0.193667
Vectorized C++,scaler_gated_gelu,8,128,64,64,0.5881708666666666,0.567583,0.689666
