implementation,batch,tokens,channels,avg_ms,min_ms,max_ms
C++,1,4,2,10.9242083,7.100334,40.478625
C++,1,8,2,9.615824999999997,7.752167,15.720333
C++,1,16,2,11.688525099999998,9.680667,18.631459
C++,2,4,2,9.627791799999999,7.746833,14.846625
C++,2,16,2,18.3311875,13.255167,58.660292
C++,4,32,2,54.1171458,43.330125,75.34175
C++,8,64,2,232.8717584,221.347583,248.130917
C++,8,128,2,562.8521499000001,508.22,642.482208
C++,8,256,2,1133.9450376999998,1105.229375,1176.742333
C++,8,512,2,2549.7568458,2438.189667,2775.048042
C++,1,4,2,11.018212499999999,7.115875,38.441666
C++,1,8,2,10.029712499999999,8.1785,16.829583
C++,1,16,2,11.553120799999999,10.777541,12.487375
C++,2,4,2,10.0535082,8.711708,12.283166
C++,2,16,2,15.700937400000004,13.791041,18.952875
C++,4,32,2,44.995646,38.929958,51.728291
C++,8,64,2,262.7592166,233.220625,322.71825
C++,8,128,2,585.0368539,532.548166,623.4405
C++,8,256,2,1271.0244208,1191.314625,1406.301708
C++,8,512,2,2532.0304501,2423.221042,2699.50125
C++,1,4,2,1120.6907334,1117.842667,1130.468375
C++,1,8,2,2326.2335332000002,2254.106667,2504.911583
C++,1,16,2,4627.7574793,4522.971833,4829.405166
C++,2,4,2,2348.2358876000003,2265.315083,2483.970667
C++,1,4,2,1131.4065958,1116.932291,1183.958958
C++,1,8,2,2257.8352707,2253.239208,2266.541041
C++,1,4,2,1147.5194789000002,1119.442667,1213.653666
C++,1,4,2,1130.0725624,1102.624042,1179.707708
C++,1,8,2,2253.3481541,2230.652459,2296.225792
C++,1,16,2,4536.668558400001,4473.216,4663.568292
C++,2,4,2,2247.2411878000003,2235.41875,2272.674167
C++,2,16,2,9068.312925100001,8966.668209,9318.671541
C++,4,32,2,35543.2286335,35086.264792,36212.05925
