implementation,batch,tokens,channels,avg_ms,min_ms,max_ms
python,1,4,2,13.601687399999998,6.958333,39.279958
python,1,8,2,9.569766499999998,7.51625,17.547791
python,1,16,2,17.3583042,8.926041,41.593833
python,2,4,2,9.285020800000002,7.640167,12.41075
python,2,16,2,12.086016700000002,11.237375,14.058959
python,4,32,2,52.174446,27.898458,104.125375
python,8,64,2,214.70298739999998,185.595083,300.886834
python,8,128,2,553.5857874999999,428.466166,801.111125
python,8,256,2,1207.6545585,995.071709,1863.286875
python,8,512,2,2126.8649043,2091.46525,2199.446458
python,8,1024,2,5544.418987500001,4812.101,6149.427959
python,16,512,2,5500.713949999999,4642.378208,6746.585416
python,1,4,1,8.2774669,8.187875,8.595042
