kernel,batch,tokens,channels,total_cycles,total_calls,avg_cycles_per_call,avg_cycles_per_forward,repeats
equi_linear,1,4,2,13428728759,220,61039676,1342872875,10
geometric_product,1,4,2,19956100,40,498902,1995610,10
equi_dual,1,4,2,204437483,30720,6654,20443748,10
equi_join,1,4,2,559657565,40,13991439,55965756,10
outer_product,1,4,2,103691497,10240,10126,10369149,10
equi_geometric_attention,1,4,2,59704360,40,1492609,5970436,10
equi_rms_norm,1,4,2,1419620,80,17745,141962,10
scaler_gated_gelu,1,4,2,756500,40,18912,75650,10
equi_linear,1,8,2,27200070225,220,123636682,2720007022,10
geometric_product,1,8,2,38764160,40,969104,3876416,10
equi_dual,1,8,2,235994260,30720,7682,23599426,10
equi_join,1,8,2,649147996,40,16228699,64914799,10
outer_product,1,8,2,109861188,10240,10728,10986118,10
equi_geometric_attention,1,8,2,88033159,40,2200828,8803315,10
equi_rms_norm,1,8,2,2110700,80,26383,211070,10
scaler_gated_gelu,1,8,2,1350300,40,33757,135030,10
equi_linear,1,16,2,48516434780,220,220529249,4851643478,10
geometric_product,1,16,2,72388880,40,1809722,7238888,10
equi_dual,1,16,2,227874220,30720,7417,22787422,10
equi_join,1,16,2,657347920,40,16433698,65734792,10
outer_product,1,16,2,105705960,10240,10322,10570596,10
equi_geometric_attention,1,16,2,144615160,40,3615379,14461516,10
equi_rms_norm,1,16,2,2252040,80,28150,225204,10
scaler_gated_gelu,1,16,2,1423680,40,35592,142368,10
equi_linear,2,4,2,27359444791,220,124361112,2735944479,10
geometric_product,2,4,2,40217840,40,1005446,4021784,10
equi_dual,2,4,2,264196020,30720,8600,26419602,10
equi_join,2,4,2,711856720,40,17796418,71185672,10
outer_product,2,4,2,115278400,10240,11257,11527840,10
equi_geometric_attention,2,4,2,84219009,40,2105475,8421900,10
equi_rms_norm,2,4,2,1864180,80,23302,186418,10
scaler_gated_gelu,2,4,2,1139000,40,28475,113900,10
equi_linear,2,16,2,92291006650,220,419504575,9229100665,10
geometric_product,2,16,2,112139180,40,2803479,11213918,10
equi_dual,2,16,2,151821420,30720,4942,15182142,10
equi_join,2,16,2,522329460,40,13058236,52232946,10
outer_product,2,16,2,81866700,10240,7994,8186670,10
equi_geometric_attention,2,16,2,223107920,40,5577698,22310792,10
equi_rms_norm,2,16,2,2771560,80,34644,277156,10
scaler_gated_gelu,2,16,2,2263560,40,56589,226356,10
equi_linear,4,32,2,387368411778,220,1760765508,38736841177,10
geometric_product,4,32,2,488207933,40,12205198,48820793,10
equi_dual,4,32,2,167623222,30720,5456,16762322,10
equi_join,4,32,2,933619971,40,23340499,93361997,10
outer_product,4,32,2,89541202,10240,8744,8954120,10
equi_geometric_attention,4,32,2,974859252,40,24371481,97485925,10
equi_rms_norm,4,32,2,7358660,80,91983,735866,10
scaler_gated_gelu,4,32,2,6545000,40,163625,654500,10
