implementation,batch,tokens,channels,avg_cycles,min_cycles,max_cycles
Python,1,4,2,99828980,88896200,112455940
Python,1,8,2,118414234,90185178,145087822
Python,1,16,2,92003848,87607040,97954420
Python,2,4,2,102141857,86833321,141259160
Python,2,16,2,95243691,89788355,99702080
Python,4,32,2,146832704,138716821,154646080
Python,1,4,2,87092464,74342041,99717698
Python,1,8,2,100855774,83958280,132331920
Python,1,16,2,104433899,87039810,126348242
Python,2,4,2,111866387,95288959,146217641
Python,2,16,2,96623764,88692111,114689500
Python,4,32,2,154043156,143418559,169921421
