kernel,batch,tokens,channels,total_cycles,total_calls,avg_cycles_per_call,avg_cycles_per_forward,repeats
equi_linear,8,64,2,71889910231,110,653544638,14377982046,5
geometric_product,8,64,2,348970483,20,17448524,69794096,5
equi_dual,8,64,2,89609097,15360,5833,17921819,5
equi_join,8,64,2,373367511,20,18668375,74673502,5
outer_product,8,64,2,25400524,5120,4961,5080104,5
equi_geometric_attention,8,64,2,713171584,20,35658579,142634316,5
equi_rms_norm,8,64,2,10362020,40,259050,2072404,5
scaler_gated_gelu,8,64,2,17517640,20,875882,3503528,5
equi_linear,8,256,2,264251430703,110,2402285733,52850286140,5
geometric_product,8,256,2,1055893502,20,52794675,211178700,5
equi_dual,8,256,2,84614261,15360,5508,16922852,5
equi_join,8,256,2,775060986,20,38753049,155012197,5
outer_product,8,256,2,23846400,5120,4657,4769280,5
equi_geometric_attention,8,256,2,7330551923,20,366527596,1466110384,5
equi_rms_norm,8,256,2,41435124,40,1035878,8287024,5
scaler_gated_gelu,8,256,2,35579300,20,1778965,7115860,5
