implementation,batch,tokens,channels,avg_ms,min_ms,max_ms
Optimized C++,1,1,1,0.7303249333333333,0.675541,0.94075
Optimized C++,1,4,2,1.9820915333333333,1.918167,2.639708
Optimized C++,1,8,2,3.594076333333334,3.574292,3.646583
Optimized C++,1,16,2,7.4393500333333344,7.059916,11.488625
Optimized C++,2,4,2,3.5764942333333325,3.497541,5.140458
Optimized C++,2,16,2,14.647107,13.69825,35.422375
Optimized C++,4,32,2,61.22229163333335,59.4515,65.130791
Optimized C++,8,64,2,306.7306514,295.908625,316.24525
Optimized C++,8,128,2,861.6992138333333,826.516959,943.931291
Optimized C++,8,256,2,2434.9570694000004,2410.476083,2523.851958
