implementation,kernel,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
C++,geometric_product,8,2,1,1,0.05828469999999999,0.054125,0.077667
C++,equi_linear,8,2,1,1,0.0322791,0.031625,0.040708
C++,equi_join,8,2,1,1,2.7558153000000005,2.271542,7.360208
C++,equi_rms_norm,8,2,1,1,0.0005638333333333335,0.000541,0.000958
C++,scaler_gated_gelu,8,2,1,1,0.0005458000000000003,0.0005,0.000708
C++,geometric_product,8,4,2,2,0.22633330000000002,0.194625,0.487583
C++,equi_linear,8,4,2,2,0.25408340000000007,0.243041,0.443
C++,equi_join,8,4,2,2,2.7993443666666664,2.474042,4.700292
C++,equi_rms_norm,8,4,2,2,0.0018514000000000007,0.000958,0.02375
C++,scaler_gated_gelu,8,4,2,2,0.001052766666666667,0.001,0.001375
C++,geometric_product,8,8,4,4,0.8995361666666669,0.806875,1.390542
C++,equi_linear,8,8,4,4,2.8163277999999994,2.465083,4.7455
C++,equi_join,8,8,4,4,3.5811194666666664,3.107209,8.39275
C++,equi_rms_norm,8,8,4,4,0.0028277666666666683,0.002791,0.003166
C++,scaler_gated_gelu,8,8,4,4,0.002963866666666668,0.002875,0.00325
C++,geometric_product,8,16,8,8,3.352636,3.146542,5.147166
C++,equi_linear,8,16,8,8,23.67952213333333,21.821833,54.232041
C++,equi_join,8,16,8,8,5.779765266666666,5.693417,6.08975
C++,equi_rms_norm,8,16,8,8,0.007529333333333334,0.007375,0.008125
C++,scaler_gated_gelu,8,16,8,8,0.011313700000000001,0.010958,0.012
C++,geometric_product,8,32,16,16,13.001908433333334,12.735875,14.898875
C++,equi_linear,8,32,16,16,198.71834576666666,192.611834,245.740917
C++,equi_join,8,32,16,16,17.277526366666667,17.1305,18.211584
C++,equi_rms_norm,8,32,16,16,0.02408066666666667,0.023958,0.024458
C++,scaler_gated_gelu,8,32,16,16,0.05196669999999999,0.051791,0.052958
C++,geometric_product,8,64,32,32,53.017375,50.934541,61.541458
C++,equi_linear,8,64,32,32,1527.1591581999999,1514.596375,1571.571333
C++,equi_join,8,64,32,32,62.29253896666666,61.857917,66.090667
C++,equi_rms_norm,8,64,32,32,0.08597360000000001,0.085875,0.086291
C++,scaler_gated_gelu,8,64,32,32,0.24520000000000003,0.230083,0.445333
C++,geometric_product,8,128,64,64,208.8321263666667,203.9755,219.467959
C++,equi_linear,8,128,64,64,13073.396424966666,12157.562459,16645.913791
C++,equi_join,8,128,64,64,251.35009720000002,237.400333,259.099791
C++,equi_rms_norm,8,128,64,64,0.4040251333333334,0.339292,0.960583
C++,scaler_gated_gelu,8,128,64,64,0.9950555333333334,0.943209,1.17475
