implementation,kernel,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
Optimized-for-cache C++,geometric_product,8,2,1,1,0.0012987000000000003,0.000791,0.011291
Optimized-for-cache C++,equi_linear,8,2,1,1,0.001886166666666667,0.000459,0.025625
Optimized-for-cache C++,equi_join,8,2,1,1,0.0016819666666666672,0.001542,0.002875
Optimized-for-cache C++,equi_rms_norm,8,2,1,1,0.0005833333333333335,0.000541,0.000792
Optimized-for-cache C++,scaler_gated_gelu,8,2,1,1,0.0005472666666666669,0.0005,0.000792
Optimized-for-cache C++,geometric_product,8,4,2,2,0.0018305666666666672,0.001791,0.002042
Optimized-for-cache C++,equi_linear,8,4,2,2,0.0009055000000000004,0.000875,0.001042
Optimized-for-cache C++,equi_join,8,4,2,2,0.0022263666666666676,0.002125,0.002791
Optimized-for-cache C++,equi_rms_norm,8,4,2,2,0.0010139666666666672,0.000958,0.00125
Optimized-for-cache C++,scaler_gated_gelu,8,4,2,2,0.0012957666666666672,0.001,0.007416
Optimized-for-cache C++,geometric_product,8,8,4,4,0.006019466666666667,0.005875,0.006542
Optimized-for-cache C++,equi_linear,8,8,4,4,0.004418033333333335,0.003542,0.025792
Optimized-for-cache C++,equi_join,8,8,4,4,0.004887400000000002,0.00475,0.005416
Optimized-for-cache C++,equi_rms_norm,8,8,4,4,0.002869466666666668,0.002833,0.003083
Optimized-for-cache C++,scaler_gated_gelu,8,8,4,4,0.002954366666666668,0.002875,0.003209
Optimized-for-cache C++,geometric_product,8,16,8,8,0.022920866666666668,0.022292,0.035458
Optimized-for-cache C++,equi_linear,8,16,8,8,0.02335136666666666,0.023166,0.02375
Optimized-for-cache C++,equi_join,8,16,8,8,0.015941833333333332,0.015667,0.016334
Optimized-for-cache C++,equi_rms_norm,8,16,8,8,0.007962566666666667,0.007875,0.008084
Optimized-for-cache C++,scaler_gated_gelu,8,16,8,8,0.01187366666666667,0.011709,0.012208
Optimized-for-cache C++,geometric_product,8,32,16,16,0.08753326666666666,0.087208,0.087833
Optimized-for-cache C++,equi_linear,8,32,16,16,0.2175375,0.190208,0.492584
Optimized-for-cache C++,equi_join,8,32,16,16,0.09021396666666665,0.0635,0.312125
Optimized-for-cache C++,equi_rms_norm,8,32,16,16,0.0680208,0.024125,0.362375
Optimized-for-cache C++,scaler_gated_gelu,8,32,16,16,0.15758606666666664,0.053416,0.541583
Optimized-for-cache C++,geometric_product,8,64,32,32,0.8511583,0.357416,1.495334
Optimized-for-cache C++,equi_linear,8,64,32,32,2.6120806333333335,1.660625,4.391042
Optimized-for-cache C++,equi_join,8,64,32,32,0.6699305666666666,0.235208,2.029459
Optimized-for-cache C++,equi_rms_norm,8,64,32,32,0.08678186666666665,0.085791,0.09025
Optimized-for-cache C++,scaler_gated_gelu,8,64,32,32,0.3173570000000001,0.218125,1.241167
Optimized-for-cache C++,geometric_product,8,128,64,64,1.5034555333333337,1.346375,2.084167
Optimized-for-cache C++,equi_linear,8,128,64,64,14.413045833333337,13.80975,17.277084
Optimized-for-cache C++,equi_join,8,128,64,64,0.9549806666666666,0.900458,1.143334
Optimized-for-cache C++,equi_rms_norm,8,128,64,64,0.34653043333333333,0.332125,0.486833
Optimized-for-cache C++,scaler_gated_gelu,8,128,64,64,0.910238866666667,0.888458,0.996625
