implementation,kernel,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
Vectorized C++,geometric_product,8,2,1,1,0.0005747999999999999,0.0005,0.001375
Vectorized C++,equi_linear,8,2,1,1,0.0005041333333333336,0.000458,0.000709
Vectorized C++,equi_join,8,2,1,1,0.0016290000000000009,0.001542,0.00225
Vectorized C++,equi_rms_norm,8,2,1,1,0.0004986666666666667,0.000458,0.000708
Vectorized C++,scaler_gated_gelu,8,2,1,1,0.0004735333333333334,0.000417,0.000667
Vectorized C++,geometric_product,8,4,2,2,0.0009389000000000004,0.000875,0.001208
Vectorized C++,equi_linear,8,4,2,2,0.0008763333333333338,0.000833,0.001042
Vectorized C++,equi_join,8,4,2,2,0.0019319666666666676,0.001875,0.002291
Vectorized C++,equi_rms_norm,8,4,2,2,0.0006763666666666665,0.000625,0.000875
Vectorized C++,scaler_gated_gelu,8,4,2,2,0.0006583333333333334,0.000625,0.000792
Vectorized C++,geometric_product,8,8,4,4,0.004826466666666667,0.002292,0.005584
Vectorized C++,equi_linear,8,8,4,4,0.0016416000000000009,0.001625,0.001792
Vectorized C++,equi_join,8,8,4,4,0.003691500000000002,0.003583,0.004041
Vectorized C++,equi_rms_norm,8,8,4,4,0.0012346666666666671,0.001166,0.001459
Vectorized C++,scaler_gated_gelu,8,8,4,4,0.001448633333333334,0.001375,0.001584
Vectorized C++,geometric_product,8,16,8,8,0.011038933333333332,0.008083,0.015458
Vectorized C++,equi_linear,8,16,8,8,0.008463899999999998,0.008375,0.008667
Vectorized C++,equi_join,8,16,8,8,0.010572199999999999,0.010416,0.011041
Vectorized C++,equi_rms_norm,8,16,8,8,0.003684633333333335,0.003583,0.003875
Vectorized C++,scaler_gated_gelu,8,16,8,8,0.005237500000000001,0.004375,0.005875
Vectorized C++,geometric_product,8,32,16,16,0.05174293333333334,0.049666,0.064583
Vectorized C++,equi_linear,8,32,16,16,0.12656953333333332,0.080208,0.245334
Vectorized C++,equi_join,8,32,16,16,0.08576536666666665,0.051084,0.227792
Vectorized C++,equi_rms_norm,8,32,16,16,0.02461526666666667,0.020833,0.117041
Vectorized C++,scaler_gated_gelu,8,32,16,16,0.04585836666666667,0.034292,0.071542
Vectorized C++,geometric_product,8,64,32,32,0.11370693333333332,0.113542,0.114208
Vectorized C++,equi_linear,8,64,32,32,0.40093609999999985,0.389,0.59825
Vectorized C++,equi_join,8,64,32,32,0.16921666666666663,0.12325,0.446125
Vectorized C++,equi_rms_norm,8,64,32,32,0.0444055,0.042791,0.046375
Vectorized C++,scaler_gated_gelu,8,64,32,32,0.16253746666666669,0.147125,0.390583
Vectorized C++,geometric_product,8,128,64,64,0.49914033333333324,0.450916,0.777667
Vectorized C++,equi_linear,8,128,64,64,5.148194500000002,4.915917,5.613583
Vectorized C++,equi_join,8,128,64,64,0.6804138333333332,0.51875,1.814208
Vectorized C++,equi_rms_norm,8,128,64,64,0.1621222333333333,0.161125,0.163791
Vectorized C++,scaler_gated_gelu,8,128,64,64,0.6654846000000003,0.653458,0.74725
