implementation,kernel,batch,tokens,channels,layers,avg_ms,min_ms,max_ms,label,kind,n,config
C++,geometric_product,8,2,1,1,0.0871165666666666,0.086834,0.087791,Baseline C++,per_kernel,1,N=1  B=8 T=2 C=1 L=1
C++,equi_linear,8,2,1,1,0.0418555666666666,0.04175,0.042208,Baseline C++,per_kernel,1,N=1  B=8 T=2 C=1 L=1
C++,equi_join,8,2,1,1,2.2393597000000005,2.14625,2.494917,Baseline C++,per_kernel,1,N=1  B=8 T=2 C=1 L=1
C++,equi_rms_norm,8,2,1,1,0.0005597333333333,0.0005,0.00075,Baseline C++,per_kernel,1,N=1  B=8 T=2 C=1 L=1
C++,scaler_gated_gelu,8,2,1,1,0.0008013666666666,0.0005,0.008458,Baseline C++,per_kernel,1,N=1  B=8 T=2 C=1 L=1
C++,equi_geometric_attention,8,2,1,1,0.1201444666666666,0.10925,0.123,Baseline C++,per_kernel,1,N=1  B=8 T=2 C=1 L=1
C++,geometric_product,8,4,2,2,0.1952666,0.185958,0.264833,Baseline C++,per_kernel,2,N=2  B=8 T=4 C=2 L=2
C++,equi_linear,8,4,2,2,0.2294027666666667,0.226458,0.270333,Baseline C++,per_kernel,2,N=2  B=8 T=4 C=2 L=2
C++,equi_join,8,4,2,2,2.3886972,2.314541,2.645417,Baseline C++,per_kernel,2,N=2  B=8 T=4 C=2 L=2
C++,equi_rms_norm,8,4,2,2,0.0010028,0.000958,0.001292,Baseline C++,per_kernel,2,N=2  B=8 T=4 C=2 L=2
C++,scaler_gated_gelu,8,4,2,2,0.0011237,0.001,0.003084,Baseline C++,per_kernel,2,N=2  B=8 T=4 C=2 L=2
C++,equi_geometric_attention,8,4,2,2,0.1435097333333333,0.139959,0.145917,Baseline C++,per_kernel,2,N=2  B=8 T=4 C=2 L=2
C++,geometric_product,8,8,4,4,0.7483527999999999,0.739917,0.765,Baseline C++,per_kernel,4,N=4  B=8 T=8 C=4 L=4
C++,equi_linear,8,8,4,4,2.4253639333333337,2.378625,2.567542,Baseline C++,per_kernel,4,N=4  B=8 T=8 C=4 L=4
C++,equi_join,8,8,4,4,2.999269466666666,2.975458,3.130958,Baseline C++,per_kernel,4,N=4  B=8 T=8 C=4 L=4
C++,equi_rms_norm,8,8,4,4,0.0028193333333333,0.002708,0.003125,Baseline C++,per_kernel,4,N=4  B=8 T=8 C=4 L=4
C++,scaler_gated_gelu,8,8,4,4,0.0029360666666666,0.00275,0.003208,Baseline C++,per_kernel,4,N=4  B=8 T=8 C=4 L=4
C++,equi_geometric_attention,8,8,4,4,0.3009638666666666,0.277,0.528917,Baseline C++,per_kernel,4,N=4  B=8 T=8 C=4 L=4
C++,geometric_product,8,16,8,8,3.0879319666666665,2.974125,3.478375,Baseline C++,per_kernel,8,N=8  B=8 T=16 C=8 L=8
C++,equi_linear,8,16,8,8,21.461079033333338,21.306875,21.893375,Baseline C++,per_kernel,8,N=8  B=8 T=16 C=8 L=8
C++,equi_join,8,16,8,8,5.6807431,5.569625,6.215667,Baseline C++,per_kernel,8,N=8  B=8 T=16 C=8 L=8
C++,equi_rms_norm,8,16,8,8,0.0077444,0.007208,0.015,Baseline C++,per_kernel,8,N=8  B=8 T=16 C=8 L=8
C++,scaler_gated_gelu,8,16,8,8,0.0106666333333333,0.010625,0.010834,Baseline C++,per_kernel,8,N=8  B=8 T=16 C=8 L=8
C++,equi_geometric_attention,8,16,8,8,1.2450847333333332,1.232917,1.458,Baseline C++,per_kernel,8,N=8  B=8 T=16 C=8 L=8
C++,geometric_product,8,32,16,16,12.892337466666666,12.723042,15.495916,Baseline C++,per_kernel,16,N=16  B=8 T=32 C=16 L=16
C++,equi_linear,8,32,16,16,197.81507366666665,192.583,248.837333,Baseline C++,per_kernel,16,N=16  B=8 T=32 C=16 L=16
C++,equi_join,8,32,16,16,17.389588933333325,17.170958,18.271208,Baseline C++,per_kernel,16,N=16  B=8 T=32 C=16 L=16
C++,equi_rms_norm,8,32,16,16,0.0240902666666666,0.024,0.024291,Baseline C++,per_kernel,16,N=16  B=8 T=32 C=16 L=16
C++,scaler_gated_gelu,8,32,16,16,0.0506596333333333,0.050166,0.054459,Baseline C++,per_kernel,16,N=16  B=8 T=32 C=16 L=16
C++,equi_geometric_attention,8,32,16,16,8.062795866666667,7.759625,8.976166,Baseline C++,per_kernel,16,N=16  B=8 T=32 C=16 L=16
C++,geometric_product,8,64,32,32,51.92497363333333,50.876125,54.420334,Baseline C++,per_kernel,32,N=32  B=8 T=64 C=32 L=32
C++,equi_linear,8,64,32,32,1505.5975166,1492.163792,1580.261625,Baseline C++,per_kernel,32,N=32  B=8 T=64 C=32 L=32
C++,equi_join,8,64,32,32,62.58454733333335,61.873459,72.087667,Baseline C++,per_kernel,32,N=32  B=8 T=64 C=32 L=32
C++,equi_rms_norm,8,64,32,32,0.0866721333333333,0.085875,0.104375,Baseline C++,per_kernel,32,N=32  B=8 T=64 C=32 L=32
C++,scaler_gated_gelu,8,64,32,32,0.2647209,0.226875,0.837916,Baseline C++,per_kernel,32,N=32  B=8 T=64 C=32 L=32
C++,equi_geometric_attention,8,64,32,32,67.75287213333334,67.590459,69.356708,Baseline C++,per_kernel,32,N=32  B=8 T=64 C=32 L=32
C++,geometric_product,8,128,64,64,215.6329444,203.733917,229.439958,Baseline C++,per_kernel,64,N=64  B=8 T=128 C=64 L=64
C++,equi_linear,8,128,64,64,12435.87360136667,12029.999667,14600.863166,Baseline C++,per_kernel,64,N=64  B=8 T=128 C=64 L=64
C++,equi_join,8,128,64,64,240.88810146666663,239.054625,247.995708,Baseline C++,per_kernel,64,N=64  B=8 T=128 C=64 L=64
C++,equi_rms_norm,8,128,64,64,0.3414750333333334,0.334792,0.453084,Baseline C++,per_kernel,64,N=64  B=8 T=128 C=64 L=64
C++,scaler_gated_gelu,8,128,64,64,0.9396125,0.938292,0.943916,Baseline C++,per_kernel,64,N=64  B=8 T=128 C=64 L=64
C++,equi_geometric_attention,8,128,64,64,553.8101291,551.976292,559.245,Baseline C++,per_kernel,64,N=64  B=8 T=128 C=64 L=64
Python,geometric_product,8,2,1,1,0.1234458333333333,0.090125,0.869084,Python,per_kernel,1,N=1  B=8 T=2 C=1 L=1
Python,equi_linear,8,2,1,1,0.1167624333333333,0.104333,0.183459,Python,per_kernel,1,N=1  B=8 T=2 C=1 L=1
Python,equi_join,8,2,1,1,0.1033554666666666,0.09525,0.170625,Python,per_kernel,1,N=1  B=8 T=2 C=1 L=1
Python,equi_rms_norm,8,2,1,1,0.025307,0.024333,0.027625,Python,per_kernel,1,N=1  B=8 T=2 C=1 L=1
Python,scaler_gated_gelu,8,2,1,1,0.0058847,0.005583,0.006833,Python,per_kernel,1,N=1  B=8 T=2 C=1 L=1
Python,equi_geometric_attention,8,2,1,1,0.7061361333333334,0.299458,9.389333,Python,per_kernel,1,N=1  B=8 T=2 C=1 L=1
Python,geometric_product,8,4,2,2,0.1097805666666666,0.105083,0.172875,Python,per_kernel,2,N=2  B=8 T=4 C=2 L=2
Python,equi_linear,8,4,2,2,0.1547569666666666,0.121708,0.505209,Python,per_kernel,2,N=2  B=8 T=4 C=2 L=2
