implementation,b,t,c,l,avg_ms,min_ms,max_ms,label,problem_size,config
Optimized C++,8,2,1,1,4.0045751,1.739667,12.133833,Optimized C,16,"B=8, T=2, C=1, L=1"
Optimized-for-cache C++,8,2,1,1,1.3978278333333332,1.3735,1.515125,Optimized C cache,16,"B=8, T=2, C=1, L=1"
Python,8,2,1,1,2.9390180999999993,2.6365,4.341417,Python,16,"B=8, T=2, C=1, L=1"
SIMD C++,8,2,1,1,0.8718346666666664,0.861,0.939209,SIMD,16,"B=8, T=2, C=1, L=1"
simd_packed C++,8,2,1,1,0.8366347333333332,0.792167,1.170916,SIMD cache-packed,16,"B=8, T=2, C=1, L=1"
Optimized C++,8,4,2,2,6.974880566666666,6.293084,12.0335,Optimized C,128,"B=8, T=4, C=2, L=2"
Optimized-for-cache C++,8,4,2,2,5.669366600000001,5.572875,6.429,Optimized C cache,128,"B=8, T=4, C=2, L=2"
Python,8,4,2,2,7.0481292333333325,6.906208,7.352542,Python,128,"B=8, T=4, C=2, L=2"
SIMD C++,8,4,2,2,3.447074866666666,3.383208,3.799333,SIMD,128,"B=8, T=4, C=2, L=2"
simd_packed C++,8,4,2,2,6.050961133333334,3.093,43.031667,SIMD cache-packed,128,"B=8, T=4, C=2, L=2"
Optimized C++,8,8,4,4,27.017434733333328,25.132125,36.319958,Optimized C,1024,"B=8, T=8, C=4, L=4"
Optimized-for-cache C++,8,8,4,4,25.9710931,22.411416,52.585667,Optimized C cache,1024,"B=8, T=8, C=4, L=4"
Python,8,8,4,4,21.985058433333332,21.400125,23.646333,Python,1024,"B=8, T=8, C=4, L=4"
SIMD C++,8,8,4,4,14.205106933333337,13.944208,18.575084,SIMD,1024,"B=8, T=8, C=4, L=4"
simd_packed C++,8,8,4,4,12.5039472,12.162042,15.205,SIMD cache-packed,1024,"B=8, T=8, C=4, L=4"
Optimized C++,8,16,8,8,113.04793193333332,106.290375,150.828084,Optimized C,8192,"B=8, T=16, C=8, L=8"
Optimized-for-cache C++,8,16,8,8,96.38418476666668,94.070583,112.885,Optimized C cache,8192,"B=8, T=16, C=8, L=8"
Python,8,16,8,8,82.03836393333333,79.135292,97.125041,Python,8192,"B=8, T=16, C=8, L=8"
SIMD C++,8,16,8,8,66.43276253333333,58.892208,98.185833,SIMD,8192,"B=8, T=16, C=8, L=8"
simd_packed C++,8,16,8,8,52.140543,49.270292,64.226459,SIMD cache-packed,8192,"B=8, T=16, C=8, L=8"
Optimized C++,8,32,16,16,532.1817709333333,511.175084,552.964709,Optimized C,65536,"B=8, T=32, C=16, L=16"
Optimized-for-cache C++,8,32,16,16,456.1230138333333,436.129916,488.751875,Optimized C cache,65536,"B=8, T=32, C=16, L=16"
Python,8,32,16,16,344.5947541333333,331.3185,382.570667,Python,65536,"B=8, T=32, C=16, L=16"
SIMD C++,8,32,16,16,276.6578583666667,265.558375,301.937709,SIMD,65536,"B=8, T=32, C=16, L=16"
simd_packed C++,8,32,16,16,225.11408323333333,216.592666,264.296709,SIMD cache-packed,65536,"B=8, T=32, C=16, L=16"
Optimized C++,8,64,32,32,2892.9653875000004,2737.541125,3093.618875,Optimized C,524288,"B=8, T=64, C=32, L=32"
Optimized-for-cache C++,8,64,32,32,2564.531414,2439.914084,2666.952875,Optimized C cache,524288,"B=8, T=64, C=32, L=32"
Python,8,64,32,32,1898.1072152666668,1831.689416,2154.292333,Python,524288,"B=8, T=64, C=32, L=32"
SIMD C++,8,64,32,32,1447.0776168,1376.839,1539.358583,SIMD,524288,"B=8, T=64, C=32, L=32"
simd_packed C++,8,64,32,32,1198.0187387666665,1129.636333,1301.046208,SIMD cache-packed,524288,"B=8, T=64, C=32, L=32"
Optimized C++,8,128,64,64,18026.7301582,15263.466291,23683.575459,Optimized C,4194304,"B=8, T=128, C=64, L=64"
Optimized-for-cache C++,8,128,64,64,14113.8412098,13535.785292,15894.906875,Optimized C cache,4194304,"B=8, T=128, C=64, L=64"
Python,8,128,64,64,10080.193530566665,9532.062375,13272.628958,Python,4194304,"B=8, T=128, C=64, L=64"
SIMD C++,8,128,64,64,7569.407772233335,7310.170709,8072.963292,SIMD,4194304,"B=8, T=128, C=64, L=64"
simd_packed C++,8,128,64,64,6778.793759666665,6615.709375,6942.683375,SIMD cache-packed,4194304,"B=8, T=128, C=64, L=64"
